TIMESLICE,YEAR,VALUE
S101,2022,0.01041666666666667
S101,2023,0.01041666666666667
S101,2024,0.01041666666666667
S101,2025,0.01041666666666667
S101,2026,0.01041666666666667
S101,2027,0.01041666666666667
S101,2028,0.01041666666666667
S101,2029,0.01041666666666667
S101,2030,0.01041666666666667
S101,2031,0.01041666666666667
S101,2032,0.01041666666666667
S101,2033,0.01041666666666667
S101,2034,0.01041666666666667
S101,2035,0.01041666666666667
S101,2036,0.01041666666666667
S101,2037,0.01041666666666667
S101,2038,0.01041666666666667
S101,2039,0.01041666666666667
S101,2040,0.01041666666666667
S101,2041,0.01041666666666667
S101,2042,0.01041666666666667
S101,2043,0.01041666666666667
S101,2044,0.01041666666666667
S101,2045,0.01041666666666667
S101,2046,0.01041666666666667
S101,2047,0.01041666666666667
S101,2048,0.01041666666666667
S101,2049,0.01041666666666667
S101,2050,0.01041666666666667
S101,2051,0.01041666666666667
S101,2052,0.01041666666666667
S101,2053,0.01041666666666667
S101,2054,0.01041666666666667
S102,2022,0.01041666666666667
S102,2023,0.01041666666666667
S102,2024,0.01041666666666667
S102,2025,0.01041666666666667
S102,2026,0.01041666666666667
S102,2027,0.01041666666666667
S102,2028,0.01041666666666667
S102,2029,0.01041666666666667
S102,2030,0.01041666666666667
S102,2031,0.01041666666666667
S102,2032,0.01041666666666667
S102,2033,0.01041666666666667
S102,2034,0.01041666666666667
S102,2035,0.01041666666666667
S102,2036,0.01041666666666667
S102,2037,0.01041666666666667
S102,2038,0.01041666666666667
S102,2039,0.01041666666666667
S102,2040,0.01041666666666667
S102,2041,0.01041666666666667
S102,2042,0.01041666666666667
S102,2043,0.01041666666666667
S102,2044,0.01041666666666667
S102,2045,0.01041666666666667
S102,2046,0.01041666666666667
S102,2047,0.01041666666666667
S102,2048,0.01041666666666667
S102,2049,0.01041666666666667
S102,2050,0.01041666666666667
S102,2051,0.01041666666666667
S102,2052,0.01041666666666667
S102,2053,0.01041666666666667
S102,2054,0.01041666666666667
S103,2022,0.01041666666666667
S103,2023,0.01041666666666667
S103,2024,0.01041666666666667
S103,2025,0.01041666666666667
S103,2026,0.01041666666666667
S103,2027,0.01041666666666667
S103,2028,0.01041666666666667
S103,2029,0.01041666666666667
S103,2030,0.01041666666666667
S103,2031,0.01041666666666667
S103,2032,0.01041666666666667
S103,2033,0.01041666666666667
S103,2034,0.01041666666666667
S103,2035,0.01041666666666667
S103,2036,0.01041666666666667
S103,2037,0.01041666666666667
S103,2038,0.01041666666666667
S103,2039,0.01041666666666667
S103,2040,0.01041666666666667
S103,2041,0.01041666666666667
S103,2042,0.01041666666666667
S103,2043,0.01041666666666667
S103,2044,0.01041666666666667
S103,2045,0.01041666666666667
S103,2046,0.01041666666666667
S103,2047,0.01041666666666667
S103,2048,0.01041666666666667
S103,2049,0.01041666666666667
S103,2050,0.01041666666666667
S103,2051,0.01041666666666667
S103,2052,0.01041666666666667
S103,2053,0.01041666666666667
S103,2054,0.01041666666666667
S104,2022,0.01041666666666667
S104,2023,0.01041666666666667
S104,2024,0.01041666666666667
S104,2025,0.01041666666666667
S104,2026,0.01041666666666667
S104,2027,0.01041666666666667
S104,2028,0.01041666666666667
S104,2029,0.01041666666666667
S104,2030,0.01041666666666667
S104,2031,0.01041666666666667
S104,2032,0.01041666666666667
S104,2033,0.01041666666666667
S104,2034,0.01041666666666667
S104,2035,0.01041666666666667
S104,2036,0.01041666666666667
S104,2037,0.01041666666666667
S104,2038,0.01041666666666667
S104,2039,0.01041666666666667
S104,2040,0.01041666666666667
S104,2041,0.01041666666666667
S104,2042,0.01041666666666667
S104,2043,0.01041666666666667
S104,2044,0.01041666666666667
S104,2045,0.01041666666666667
S104,2046,0.01041666666666667
S104,2047,0.01041666666666667
S104,2048,0.01041666666666667
S104,2049,0.01041666666666667
S104,2050,0.01041666666666667
S104,2051,0.01041666666666667
S104,2052,0.01041666666666667
S104,2053,0.01041666666666667
S104,2054,0.01041666666666667
S105,2022,0.01041666666666667
S105,2023,0.01041666666666667
S105,2024,0.01041666666666667
S105,2025,0.01041666666666667
S105,2026,0.01041666666666667
S105,2027,0.01041666666666667
S105,2028,0.01041666666666667
S105,2029,0.01041666666666667
S105,2030,0.01041666666666667
S105,2031,0.01041666666666667
S105,2032,0.01041666666666667
S105,2033,0.01041666666666667
S105,2034,0.01041666666666667
S105,2035,0.01041666666666667
S105,2036,0.01041666666666667
S105,2037,0.01041666666666667
S105,2038,0.01041666666666667
S105,2039,0.01041666666666667
S105,2040,0.01041666666666667
S105,2041,0.01041666666666667
S105,2042,0.01041666666666667
S105,2043,0.01041666666666667
S105,2044,0.01041666666666667
S105,2045,0.01041666666666667
S105,2046,0.01041666666666667
S105,2047,0.01041666666666667
S105,2048,0.01041666666666667
S105,2049,0.01041666666666667
S105,2050,0.01041666666666667
S105,2051,0.01041666666666667
S105,2052,0.01041666666666667
S105,2053,0.01041666666666667
S105,2054,0.01041666666666667
